# Copyright (c) 2014-2023 Maltrail developers (https://github.com/stamparm/maltrail/)
# See the file 'LICENSE' for copying permission

# AS63949 Linode, LLC

147.135.0.0/17,ovh
147.135.128.0/17,ovh
147.135.35.0/24,ovh
149.202.0.0/16,ovh
149.56.0.0/16,ovh
151.80.0.0/16,ovh
158.69.0.0/16,ovh
164.132.0.0/16,ovh
167.114.0.0/17,ovh
167.114.128.0/18,ovh
167.114.192.0/19,ovh
167.114.224.0/19,ovh
176.31.0.0/16,ovh
178.32.0.0/15,ovh
185.12.32.0/23,ovh
185.228.96.0/24,ovh
185.228.97.0/24,ovh
185.228.98.0/24,ovh
185.228.99.0/24,ovh
185.45.160.0/22,ovh
188.165.0.0/16,ovh
192.240.152.0/21,ovh
192.95.0.0/18,ovh
192.99.0.0/16,ovh
193.104.19.0/24,ovh
193.109.63.0/24,ovh
193.70.0.0/17,ovh
195.110.30.0/23,ovh
195.246.232.0/23,ovh
198.100.144.0/20,ovh
198.245.48.0/20,ovh
198.27.64.0/18,ovh
198.27.92.0/24,ovh
198.50.128.0/17,ovh
205.218.49.0/24,ovh
213.186.32.0/19,ovh
213.251.128.0/18,ovh
213.32.0.0/17,ovh
216.32.192.0/24,ovh
217.182.0.0/16,ovh
23.92.224.0/19,ovh
37.187.0.0/16,ovh
37.59.0.0/16,ovh
37.60.48.0/21,ovh
37.60.56.0/21,ovh
46.105.0.0/16,ovh
46.105.198.0/24,ovh
46.105.199.0/24,ovh
46.105.200.0/24,ovh
46.105.201.0/24,ovh
46.105.202.0/24,ovh
46.105.203.0/24,ovh
46.105.204.0/24,ovh
46.244.32.0/20,ovh
51.161.0.0/17,ovh
51.161.128.0/17,ovh
51.178.0.0/16,ovh
51.195.0.0/16,ovh
51.210.0.0/16,ovh
51.222.0.0/16,ovh
51.254.0.0/15,ovh
5.135.0.0/16,ovh
51.38.0.0/16,ovh
51.68.0.0/16,ovh
51.75.0.0/16,ovh
51.77.0.0/16,ovh
51.79.0.0/17,ovh
51.79.128.0/17,ovh
51.81.0.0/17,ovh
51.81.128.0/17,ovh
51.81.128.0/24,ovh
51.81.129.0/24,ovh
51.81.145.0/24,ovh
51.81.146.0/24,ovh
51.81.147.0/24,ovh
51.81.148.0/24,ovh
51.81.153.0/24,ovh
51.81.157.0/24,ovh
51.81.158.0/24,ovh
51.81.225.0/24,ovh
51.81.231.0/24,ovh
51.81.234.0/24,ovh
51.81.235.0/24,ovh
51.83.0.0/16,ovh
51.89.0.0/16,ovh

# AS28753 Leaseweb Deutschland GmbH

178.162.192.0/18,leaseweb
178.239.198.0/24,leaseweb
185.17.120.0/22,leaseweb
185.17.120.0/23,leaseweb
185.17.144.0/22,leaseweb
185.17.32.0/23,leaseweb
185.17.32.0/24,leaseweb
185.17.33.0/24,leaseweb
185.17.34.0/23,leaseweb
185.242.84.0/23,leaseweb
185.242.86.0/23,leaseweb
185.28.69.0/24,leaseweb
185.49.68.0/22,leaseweb
195.54.32.0/23,leaseweb
212.95.32.0/19,leaseweb
217.20.112.0/20,leaseweb
217.20.112.0/21,leaseweb
217.20.126.0/24,leaseweb
217.20.127.0/24,leaseweb
23.19.196.0/24,leaseweb
23.19.197.0/24,leaseweb
23.19.52.0/24,leaseweb
23.19.53.0/24,leaseweb
37.1.192.0/21,leaseweb
37.58.48.0/20,leaseweb
45.137.119.0/24,leaseweb
45.147.56.0/23,leaseweb
45.86.203.0/24,leaseweb
45.93.4.0/22,leaseweb
46.165.192.0/18,leaseweb
5.61.32.0/20,leaseweb
77.223.144.0/23,leaseweb
78.159.96.0/19,leaseweb
84.16.224.0/19,leaseweb
85.203.20.0/24,leaseweb
89.255.251.0/24,leaseweb
91.109.16.0/20,leaseweb
92.118.163.0/24,leaseweb

# AS24940 Hetzner Online GmbH

116.202.0.0/16,hetzner
116.203.0.0/16,hetzner
128.140.0.0/17,hetzner
135.181.0.0/16,hetzner
136.243.0.0/16,hetzner
138.201.0.0/16,hetzner
144.76.0.0/16,hetzner
148.251.0.0/16,hetzner
157.90.0.0/16,hetzner
159.69.0.0/16,hetzner
167.233.0.0/16,hetzner
168.119.0.0/16,hetzner
171.25.225.0/24,hetzner
176.102.168.0/21,hetzner
176.9.0.0/16,hetzner
178.63.0.0/16,hetzner
185.107.52.0/22,hetzner
185.110.95.0/24,hetzner
185.112.180.0/24,hetzner
185.126.28.0/22,hetzner
185.12.64.0/22,hetzner
185.136.140.0/23,hetzner
185.141.202.0/24,hetzner
185.157.176.0/23,hetzner
185.157.178.0/23,hetzner
185.157.83.0/24,hetzner
185.171.224.0/22,hetzner
185.189.228.0/24,hetzner
185.189.229.0/24,hetzner
185.189.230.0/24,hetzner
185.189.231.0/24,hetzner
185.209.124.0/22,hetzner
185.214.188.0/22,hetzner
185.216.237.0/24,hetzner
185.226.99.0/24,hetzner
185.228.8.0/23,hetzner
185.242.76.0/24,hetzner
185.36.144.0/22,hetzner
185.49.229.0/24,hetzner
185.50.120.0/23,hetzner
188.34.128.0/17,hetzner
188.40.0.0/16,hetzner
193.110.6.0/23,hetzner
193.223.77.0/24,hetzner
193.25.170.0/23,hetzner
194.35.12.0/23,hetzner
194.42.180.0/22,hetzner
194.42.184.0/22,hetzner
195.201.0.0/16,hetzner
195.248.224.0/24,hetzner
195.60.226.0/24,hetzner
197.242.84.0/22,hetzner
201.131.3.0/24,hetzner
212.127.32.0/19,hetzner
213.133.96.0/19,hetzner
213.232.193.0/24,hetzner
213.239.192.0/18,hetzner
45.148.28.0/22,hetzner
45.15.120.0/22,hetzner
46.4.0.0/16,hetzner
49.12.0.0/16,hetzner
49.13.0.0/16,hetzner
5.161.0.0/16,hetzner
5.75.128.0/17,hetzner
5.9.0.0/16,hetzner
78.46.0.0/15,hetzner
80.243.224.0/22,hetzner
83.219.100.0/22,hetzner
83.243.120.0/22,hetzner
85.10.192.0/18,hetzner
88.198.0.0/16,hetzner
88.99.0.0/16,hetzner
91.107.128.0/17,hetzner
91.233.8.0/22,hetzner
94.130.0.0/16,hetzner
95.216.0.0/16,hetzner
95.217.0.0/16,hetzner

# AS3223 Voxility LLP

103.118.80.0/24,voxility
103.209.79.0/24,voxility
103.31.184.0/22,voxility
104.152.44.0/24,voxility
104.152.45.0/24,voxility
104.152.46.0/24,voxility
104.152.47.0/24,voxility
104.243.242.0/24,voxility
104.243.243.0/24,voxility
104.243.244.0/24,voxility
104.243.246.0/24,voxility
104.243.248.0/24,voxility
104.250.163.0/24,voxility
104.250.168.0/24,voxility
104.250.171.0/24,voxility
104.250.178.0/24,voxility
104.250.181.0/24,voxility
104.250.184.0/24,voxility
104.250.187.0/24,voxility
104.250.189.0/24,voxility
104.37.0.0/24,voxility
104.37.2.0/24,voxility
109.163.224.0/24,voxility
109.163.225.0/24,voxility
109.163.226.0/23,voxility
109.163.228.0/24,voxility
109.163.229.0/24,voxility
109.163.230.0/23,voxility
109.163.232.0/24,voxility
109.163.233.0/24,voxility
109.163.234.0/23,voxility
109.163.236.0/22,voxility
128.0.46.0/24,voxility
128.0.47.0/24,voxility
141.101.143.0/24,voxility
141.101.169.0/24,voxility
164.138.216.0/23,voxility
164.138.218.0/23,voxility
164.138.220.0/23,voxility
164.138.222.0/23,voxility
172.111.136.0/24,voxility
172.111.179.0/24,voxility
172.111.188.0/24,voxility
172.111.201.0/24,voxility
172.111.208.0/24,voxility
172.111.235.0/24,voxility
172.111.254.0/24,voxility
172.111.255.0/24,voxility
172.94.11.0/24,voxility
172.94.113.0/24,voxility
172.94.118.0/24,voxility
172.94.12.0/24,voxility
172.94.13.0/24,voxility
172.94.14.0/24,voxility
172.94.15.0/24,voxility
172.94.16.0/24,voxility
172.94.21.0/24,voxility
172.94.23.0/24,voxility
172.94.24.0/24,voxility
172.94.28.0/24,voxility
172.94.3.0/24,voxility
172.94.31.0/24,voxility
172.94.35.0/24,voxility
172.94.41.0/24,voxility
172.94.58.0/24,voxility
172.94.59.0/24,voxility
172.94.60.0/24,voxility
172.94.63.0/24,voxility
172.94.64.0/24,voxility
172.94.75.0/24,voxility
172.94.76.0/24,voxility
172.94.77.0/24,voxility
172.94.9.0/24,voxility
172.94.97.0/24,voxility
178.170.145.0/24,voxility
185.123.188.0/23,voxility
185.171.184.0/24,voxility
185.171.185.0/24,voxility
185.171.187.0/24,voxility
185.242.204.0/24,voxility
185.242.205.0/24,voxility
185.242.206.0/24,voxility
185.242.207.0/24,voxility
185.246.120.0/22,voxility
185.247.61.0/24,voxility
185.255.101.0/24,voxility
185.45.64.0/24,voxility
185.45.66.0/23,voxility
185.5.172.0/24,voxility
185.5.173.0/24,voxility
185.5.174.0/24,voxility
185.5.175.0/24,voxility
185.80.0.0/23,voxility
185.80.2.0/23,voxility
185.96.160.0/24,voxility
188.213.19.0/24,voxility
188.213.22.0/24,voxility
188.215.36.0/24,voxility
188.72.104.0/24,voxility
188.72.82.0/24,voxility

# AS3842 RamNode LLC

107.161.16.0/22,ramnode
107.161.19.0/24,ramnode
107.161.20.0/22,ramnode
107.161.23.0/24,ramnode
107.161.24.0/22,ramnode
107.161.28.0/22,ramnode
107.191.100.0/22,ramnode
107.191.104.0/22,ramnode
107.191.108.0/22,ramnode
107.191.114.0/23,ramnode
107.191.116.0/22,ramnode
107.191.120.0/22,ramnode
107.191.123.0/24,ramnode
107.191.124.0/22,ramnode
107.191.96.0/22,ramnode
107.191.96.0/24,ramnode
107.191.97.0/24,ramnode
107.191.98.0/24,ramnode
107.191.99.0/24,ramnode
167.88.112.0/22,ramnode
167.88.116.0/22,ramnode
167.88.120.0/22,ramnode
167.88.124.0/23,ramnode
168.235.100.0/22,ramnode
168.235.104.0/22,ramnode
168.235.108.0/22,ramnode
168.235.112.0/24,ramnode
168.235.64.0/22,ramnode
168.235.68.0/22,ramnode
168.235.72.0/22,ramnode
168.235.72.0/24,ramnode
168.235.73.0/24,ramnode
168.235.74.0/24,ramnode
168.235.75.0/24,ramnode
168.235.76.0/22,ramnode
168.235.80.0/22,ramnode
168.235.84.0/22,ramnode
168.235.88.0/22,ramnode
168.235.92.0/22,ramnode
