# Copyright (c) 2014-2019 Maltrail developers (https://github.com/stamparm/maltrail/)
# See the file 'LICENSE' for copying permission

#################################################################
# Note: to automatically block IPs from this list (with ipset): #
#################################################################
#  sudo su
#  apt-get -qq install iptables ipset &&\
#  ipset -q flush mass_scanners &&\
#  ipset -q create mass_scanners hash:net &&\
#  for ip in $(curl https://raw.githubusercontent.com/stamparm/maltrail/master/trails/static/mass_scanner.txt 2>/dev/null | grep -v "^#" | cut -d " " -f 1); do ipset add mass_scanners $ip; done &&\
#  iptables -I INPUT -m set --match-set mass_scanners src -j DROP
#  iptables -nvL
#################################################################

129.82.138.12  # pinger1a.netsec.colostate.edu
141.212.121.18   # researchscan***.eecs.umich.edu
141.212.121.19   # researchscan***.eecs.umich.edu
141.212.121.20   # researchscan***.eecs.umich.edu
141.212.121.21   # researchscan***.eecs.umich.edu
141.212.121.22   # researchscan***.eecs.umich.edu
141.212.121.23   # researchscan***.eecs.umich.edu
141.212.121.24   # researchscan***.eecs.umich.edu
141.212.121.25   # researchscan***.eecs.umich.edu
141.212.121.26   # researchscan***.eecs.umich.edu
141.212.121.27   # researchscan***.eecs.umich.edu
141.212.121.28   # researchscan***.eecs.umich.edu
141.212.121.29   # researchscan***.eecs.umich.edu
141.212.121.30   # researchscan***.eecs.umich.edu
141.212.121.31   # researchscan***.eecs.umich.edu
141.212.121.32   # researchscan***.eecs.umich.edu
141.212.121.33   # researchscan***.eecs.umich.edu
141.212.121.34   # researchscan***.eecs.umich.edu
141.212.121.35   # researchscan***.eecs.umich.edu
141.212.121.36   # researchscan***.eecs.umich.edu
141.212.121.37   # researchscan***.eecs.umich.edu
141.212.121.38   # researchscan***.eecs.umich.edu
141.212.121.39   # researchscan***.eecs.umich.edu
141.212.121.40   # researchscan***.eecs.umich.edu
141.212.121.41   # researchscan***.eecs.umich.edu
141.212.121.42   # researchscan***.eecs.umich.edu
141.212.121.43   # researchscan***.eecs.umich.edu
141.212.121.44   # researchscan***.eecs.umich.edu
141.212.121.45   # researchscan***.eecs.umich.edu
141.212.121.46   # researchscan***.eecs.umich.edu
141.212.121.47   # researchscan***.eecs.umich.edu
141.212.121.48   # researchscan***.eecs.umich.edu
141.212.121.49   # researchscan***.eecs.umich.edu
141.212.121.50   # researchscan***.eecs.umich.edu
141.212.121.51   # researchscan***.eecs.umich.edu
141.212.121.52   # researchscan***.eecs.umich.edu
141.212.121.53   # researchscan***.eecs.umich.edu
141.212.121.54   # researchscan***.eecs.umich.edu
141.212.121.55   # researchscan***.eecs.umich.edu
141.212.121.56   # researchscan***.eecs.umich.edu
141.212.121.57   # researchscan***.eecs.umich.edu
141.212.121.58   # researchscan***.eecs.umich.edu
141.212.121.59   # researchscan***.eecs.umich.edu
141.212.121.60   # researchscan***.eecs.umich.edu
141.212.121.61   # researchscan***.eecs.umich.edu
141.212.121.62   # researchscan***.eecs.umich.edu
141.212.121.63   # researchscan***.eecs.umich.edu
